"zip","city","brand","store_name","product_ean","product_desc","product_img","original_price","new_price","discount_dkk","discount_percent","stock","stock_unit","start_time","end_time","last_update"
"3450","Allerød","netto","Netto Allerød","5712874821685","BONDEBRØD GAMLE MØLLE","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/088f55571f1764dc64ad46580e13b57d",7.65,4,3.65,47.71,2,"each","2025-11-27T16:39:32.000Z","2025-11-28T22:59:59.000Z","2025-11-27T16:39:53.000Z"
"3450","Allerød","netto","Netto Allerød","5701638141794","SALATOST PERS. TAVERNA","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ed26349e-63b3-42b6-8a79-2f952a4bdf3d",12,9,3,25,1,"each","2025-11-21T08:21:37.000Z","2025-12-31T22:59:59.000Z","2025-11-27T09:37:54.000Z"
"3450","Allerød","netto","Netto Allerød","5712877953031","SKYR VANILJE EGELYKKE","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/image",15.95,12,3.95,24.76,3,"each","2025-11-27T10:24:42.000Z","2025-11-28T22:59:59.000Z","2025-11-27T11:38:04.000Z"
"3450","Allerød","netto","Netto Allerød","5705522023432","SERRANO CASA CZAJA",NA,25,19,6,24,7,"each","2025-11-23T09:37:01.000Z","2025-12-08T22:59:59.000Z","2025-11-27T11:08:03.000Z"
"3450","Allerød","netto","Netto Allerød","7622210116444","HVIDLØG/URT. PHILADELPHIA","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/4c504dd0-f8c3-40f2-bc0c-c6d402592d15",22,17,5,22.73,1,"each","2025-11-21T08:26:31.000Z","2025-12-31T22:59:59.000Z","2025-11-27T14:53:32.000Z"
"3450","Allerød","netto","Netto Allerød","5707196304053","JULEMEDISTER VELSMAG","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/4ea85eea3779f38e07b19737b8d29d8b",35.11,22,13.11,37.34,4,"each","2025-11-27T15:16:22.000Z","2025-11-28T22:59:59.000Z","2025-11-27T15:38:43.000Z"
"3450","Allerød","netto","Netto Allerød","5712877670846","FILET A LA MØR. PREMIEUR",NA,46.19,29,17.19,37.22,5,"each","2025-11-27T15:14:50.000Z","2025-11-29T22:59:59.000Z","2025-11-27T15:38:43.000Z"
"3450","Allerød","netto","Netto Allerød","5710405641603","LAMMECULOTTE PREMIEUR","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/66c59e9e-fdb0-4901-bf03-9dea0d4fe8c9",80.28,55,25.28,31.49,2,"each","2025-11-27T15:33:10.000Z","2025-11-29T22:59:59.000Z","2025-11-27T16:38:47.000Z"
"3450","Allerød","netto","Netto Allerød","5712872401629","KERNERUGBRØD ØGO","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/f81346d56c306660dcc69777858da6a6",15.98,7,8.98,56.2,5,"each","2025-11-27T16:59:22.000Z","2025-11-28T22:59:59.000Z","2025-11-27T16:59:48.000Z"
"3450","Allerød","netto","Netto Allerød","5701246006195","SOLSKINSBOLLER KOHBERG","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/b3f02680-2166-42ba-971c-b08179c1b1d9",23,12,11,47.83,1,"each","2025-11-27T16:43:29.000Z","2025-11-29T22:59:59.000Z","2025-11-27T16:43:51.000Z"
"3450","Allerød","netto","Netto Allerød","5701246106727","RUGBRØDSBOLLER KOHBERG","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/f2c6a041-f36a-455b-88af-05dcffb26986",24,12,12,50,5,"each","2025-11-27T16:44:49.000Z","2025-11-29T22:59:59.000Z","2025-11-27T16:45:13.000Z"
"3450","Allerød","netto","Netto Allerød","5701205001568","DET GODE SOL RUGBRØD SCHULSTAD","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/4101f2f30cbd52f825218a0e66a13753",25.99,13,12.99,49.98,6,"each","2025-11-27T16:54:41.000Z","2025-11-29T22:59:59.000Z","2025-11-27T16:54:59.000Z"
"3450","Allerød","netto","Netto Allerød","5726866108500","PROTEINBRØD KOHBERG","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ec6a45e8-cae0-40c3-af14-63ec6a4bb793",25.99,11,14.99,57.68,6,"each","2025-11-27T17:00:01.000Z","2025-11-28T22:59:59.000Z","2025-11-27T17:00:18.000Z"
"3450","Allerød","netto","Netto Allerød","7311070014488","HÖNÖ BOHUSKAKA PÅGEN","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ca4d096bf0964b2528e40434bda63aff",22,17,5,22.73,1,"each","2025-11-27T16:52:59.000Z","2025-11-29T22:59:59.000Z","2025-11-27T18:08:59.000Z"
"3450","Allerød","netto","Netto Blovstrød","5712877952898","SKYR BLÅBÆR EGELYKKE","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/image",15.95,8,7.95,49.84,5,"each","2025-11-27T05:45:56.000Z","2025-11-28T22:59:59.000Z","2025-11-27T05:46:37.000Z"
"3450","Allerød","netto","Netto Blovstrød","5712877953031","SKYR VANILJE EGELYKKE","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/image",15.95,8,7.95,49.84,5,"each","2025-11-27T05:46:02.000Z","2025-11-28T22:59:59.000Z","2025-11-27T05:46:37.000Z"
"3450","Allerød","netto","Netto Blovstrød","5745000625635","PROTEIN HINDBÆR BOLD","https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/1503728d1933dcea46829a40716affd2",16,8,8,50,13,"each","2025-11-25T12:38:58.000Z","2025-11-29T22:59:59.000Z","2025-11-27T10:23:33.000Z"
